date,year,side,short_strike,credit,qty,pnl,exit,exit_time
20221116,2022,PUT,3960,0.49999999999999994,3,-126.00000000002731,expire,16:00
20221117,2022,CALL,3945,0.5,3,-65.99999999999999,touch,15:59
20221117,2022,PUT,3935,0.35,3,98.99999999999999,expire,16:00
20221118,2022,CALL,3975,0.6000000000000001,3,174.00000000000003,expire,16:00
20221118,2022,PUT,3965,0.25,3,-186.00000000000003,touch,15:53
20221121,2022,PUT,3945,0.15,3,38.99999999999999,expire,16:00
20221122,2022,CALL,4010,0.05,3,9.000000000000002,expire,16:00
20221123,2022,CALL,4030,0.5,3,144.0,expire,16:00
20221123,2022,PUT,4020,0.1,3,24.000000000000004,expire,16:00
20221128,2022,CALL,3965,0.35000000000000003,3,-35.99999999999999,touch,15:58
20221128,2022,PUT,3955,0.1,3,24.000000000000004,expire,16:00
20221129,2022,CALL,3960,0.25,3,69.0,expire,16:00
