label,entry,dist,width,touch,sides,pnl,dd,wr,n,sharpe,pf,worst
"BOTH, 15:53, d=2, t=$+2.0, w=10",15:53,2,10,2.0,BOTH,1127,-3506,53.0,1052,0.21,1.04,-644
"PUT, 15:53, d=3, t=None, w=5",15:53,3,5,,PUT,-39592,-39709,18.3,497,-10.53,0.09,-788
"PUT, 15:53, d=3, t=None, w=10",15:53,3,10,,PUT,-13696,-13869,24.0,517,-6.68,0.19,-644
"BOTH, 15:53, d=3, t=None, w=5",15:53,3,5,,BOTH,-70705,-70894,17.8,1018,-10.38,0.09,-788
"BOTH, 15:53, d=3, t=None, w=10",15:53,3,10,,BOTH,-22968,-23094,24.9,1048,-6.71,0.2,-644
"PUT, 15:53, d=3, t=$-0.5, w=5",15:53,3,5,-0.5,PUT,5251,-3667,68.6,497,0.82,1.14,-788
"PUT, 15:53, d=3, t=$-0.5, w=10",15:53,3,10,-0.5,PUT,6220,-1256,71.0,517,1.9,1.41,-644
"BOTH, 15:53, d=3, t=$-0.5, w=5",15:53,3,5,-0.5,BOTH,21518,-3964,72.0,1018,1.81,1.35,-788
"BOTH, 15:53, d=3, t=$-0.5, w=10",15:53,3,10,-0.5,BOTH,17073,-1065,74.0,1048,2.98,1.72,-644
"PUT, 15:53, d=3, t=$+0.0, w=5",15:53,3,5,0,PUT,7198,-3172,67.8,497,1.17,1.21,-788
"PUT, 15:53, d=3, t=$+0.0, w=10",15:53,3,10,0,PUT,7019,-1162,70.0,517,2.2,1.5,-644
"BOTH, 15:53, d=3, t=$+0.0, w=5",15:53,3,5,0,BOTH,18530,-3537,69.5,1018,1.63,1.31,-788
"BOTH, 15:53, d=3, t=$+0.0, w=10",15:53,3,10,0,BOTH,15917,-1026,71.6,1048,2.87,1.69,-644
"PUT, 15:53, d=3, t=$+0.5, w=5",15:53,3,5,0.5,PUT,4963,-3196,65.2,497,0.83,1.14,-788
"PUT, 15:53, d=3, t=$+0.5, w=10",15:53,3,10,0.5,PUT,6154,-927,67.7,517,1.97,1.44,-644
